id;funcloc;material_number;equipment_description;status;sort_field;unique_id;qr_code_link;created_at
EMO003258;FP-01-PM7-CUT-RWD2-UNWD;;Blower Unwinder Motor;Installed;PM7.RWD2.UNW/BLW/M;4723;https://www.safesave.info/MIC.php?id=Fajar-MotorList4723;2023-10-27 12:28:06
EMO004911;FP-01-PM7-DRY-GRP4-CR04;;"AC MOTOR;420V,50Hz,75kW,4P,250M,B3";Installed;PM7.G4.CR4(D)/M;4724;https://www.safesave.info/MIC.php?id=Fajar-MotorList4724;2023-10-27 12:28:07
EMO004912;FP-01-PM7-DRY-GRP4-CR06;;"AC MOTOR;420V,50Hz,75kW,4P,250M,B3";Installed;PM7.G4.CR6(D)/M;4725;https://www.safesave.info/MIC.php?id=Fajar-MotorList4725;2023-10-27 12:28:08
EMO004913;FP-01-PM7-DRY-GRP4-CR15;;"AC MOTOR;420V,50Hz,75kW,4P,250M,B3";Installed;PM7.G4.CR15(D)/M;4726;https://www.safesave.info/MIC.php?id=Fajar-MotorList4726;2023-10-27 12:28:09
EMO004914;FP-01-PM7-DRY-GRP4-CR17;;"AC MOTOR;420V,50Hz,75kW,4P,250M,B3";Installed;PM7.G4.CR17(D)/M;4727;https://www.safesave.info/MIC.php?id=Fajar-MotorList4727;2023-10-27 12:28:10
EMO004915;FP-01-PM7-DRY-GRP5-CR03;;"AC MOTOR;420V,50Hz,75kW,4P,250M,B3";Installed;PM7.G5.CR3(D)/M;4728;https://www.safesave.info/MIC.php?id=Fajar-MotorList4728;2023-10-27 12:28:11
EMO004916;FP-01-PM7-DRY-GRP5-CR04A;;"AC MOTOR;420V,50Hz,75kW,4P,250M,B3";Installed;PM7.G5.CR4A(D)/M;4729;https://www.safesave.info/MIC.php?id=Fajar-MotorList4729;2023-10-27 12:28:12
EMO004917;FP-01-PM7-DRY-GRP5-CR12;;"AC MOTOR;420V,50Hz,75kW,4P,250M,B3";Installed;PM7.G5.CR12(D)/M;4730;https://www.safesave.info/MIC.php?id=Fajar-MotorList4730;2023-10-27 12:28:13
EMO004918;FP-01-PM7-DRY-GRP5-CR14;;"AC MOTOR;420V,50Hz,75kW,4P,250M,B3";Installed;PM7.G5.CR14(D)/M;4731;https://www.safesave.info/MIC.php?id=Fajar-MotorList4731;2023-10-27 12:28:14
EMO000373;FP-01-PM7-DRY-GRP6-DC35;;MOTOR;Installed;PM7.G6.DYC35D/M;4732;https://www.safesave.info/MIC.php?id=Fajar-MotorList4732;2023-10-27 12:28:15
EMO000388;FP-01-PM7-DRY-GRP6-DC36;;MOTOR;Installed;PM7.G6.DYC36D/M;4733;https://www.safesave.info/MIC.php?id=Fajar-MotorList4733;2023-10-27 12:28:16
EMO000479;FP-01-PM7-DRY-GRP6-DC37;;MOTOR;Installed;PM7.G6.DYC37D/M;4734;https://www.safesave.info/MIC.php?id=Fajar-MotorList4734;2023-10-27 12:28:17
EMO000480;FP-01-PM7-DRY-GRP6-DC38;;MOTOR;Installed;PM7.G6.DYC38D/M;4735;https://www.safesave.info/MIC.php?id=Fajar-MotorList4735;2023-10-27 12:28:18
EMO000597;FP-01-PM7-DRY-GRP6-DC39;;MOTOR;Installed;PM7.G6.DYC39D/M;4736;https://www.safesave.info/MIC.php?id=Fajar-MotorList4736;2023-10-27 12:28:19
EMO000670;FP-01-PM7-DRY-GRP6-DC40;;MOTOR;Installed;PM7.G6.DYC40D/M;4737;https://www.safesave.info/MIC.php?id=Fajar-MotorList4737;2023-10-27 12:28:20
EMO000700;FP-01-PM7-DRY-GRP6-DC41;;MOTOR;Installed;PM7.G6.DYC41D/M;4738;https://www.safesave.info/MIC.php?id=Fajar-MotorList4738;2023-10-27 12:28:21
EMO000732;FP-01-PM7-DRY-GRP6-DC42;;MOTOR;Installed;PM7.G6.DYC42D/M;4739;https://www.safesave.info/MIC.php?id=Fajar-MotorList4739;2023-10-27 12:28:22
EMO003733;FP-01-PM7-DRY-GRP6-PR01;10010638;"AC MOTOR;420V,50Hz,7.5KW,8P,160L,B3";Installed;PM7.GR.6 DRYER PAPER ROLL/M;4740;https://www.safesave.info/MIC.php?id=Fajar-MotorList4740;2023-10-27 12:28:23
