"id";"tag_name";"created_at";"updated_at"
"FP-01-PM1-AP5-T175-P195";"PM1.APP5.T3/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-BRS-T187-A049";"PM1.BR.C2/AGT1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-BRS-T187-A050";"PM1.BR.C2/AGT2/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-BRS-T187-P196";"PM1.BR.C2/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-BRS-T188-A051";"PM1.BR.C3/AGT/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-BRS-T189-A052";"PM1.BR.C4/AGT1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-BRS-T189-A053";"PM1.BR.C4/AGT2/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-BRS-T189-A054";"PM1.BR.C4/AGT3/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-BRS-T189-P198";"PM1.BR.C4/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-BRS-T189-P199";"PM1.BR.C4/P2/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-BRS-T190-A055";"PM1.BR.C5/AGT1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-BRS-T190-A056";"PM1.BR.C5/AGT2/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-BRS-T190-P200";"PM1.BR.C5/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-BRS-T191-P201";"PM1.BR.C6/P1/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-BRS-T191-P202";"PM1.BR.C6/P2/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-BRS-T191-P393";"PM1.BR.C6/P3/WWS(1)/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-CAL-CAL1-TPR1";"PM1.MC.R(TP)/GB/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-CAL-CAL2";"PM1.HMC.R(TP)/GB/M";"2023-10-26 14:45:21";NULL
"FP-01-PM1-CAL-CAL2-SMR1";"PM1.HMC.SMR/DR/M";"2023-10-26 14:45:21";NULL
