emo_detail;manufacture;serial_number;type;power_rate;power_unit;voltage;current_nominal;frequency;pole;rpm;bearing_de;bearing_nde;frame_type;shaft_diameter;phase_supply;cos_phi;efficiency;ip_rating;insulation_class;duty;connection_type;nipple_grease;greasing_type;greasing_qty_de;greasing_qty_nde;length;width;height;weight;cooling_fan;mounting
EMO004134;Marathon;72104002J;HJN1;15;kW;380;29.6;50;4P;1465;6309;6309;160L;;3;0.85;;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;
EMO004135;Marathon;72104001J;HJN1;15;kW;380;29.6;50;2P;2910;6309;6309;160L;;3;0.85;;55;Class F;S1;Delta;Not Available;;;;;;;;Internal;
EMO004047;ASEA;260402;M;22;kW;380;38;50;2P;2960;;;180M;;3;;;;;;Delta;Available;;;;;;180;;Internal;Horizontal
EMO003935;ABB;3G1F1803488579;M3BP;37;kW;400;64.2;50;4P;1475;6312;6210;200ML;;3;0.89;;55;Class F;S1;Delta;Available;;;;365;450;280;;Internal;Horizontal
EMO004532;Marathon;WX11000301-1001J;HK;37;kW;380;69.7;50;4P;1480;6313;6313;225S;;3;0.87;91.7;55;Class F;S1;Delta;Not Available;;;;;;225;;Internal;Horizontal
EMO004531;Marathon;AK-15194901J;HJN1;160;kW;380;288;50;4P;1475;NU319;6319;315L;;3;0.89;94.9;55;Class F;S1;Delta;Available;;;;310;352;315;;Internal;Horizontal
EMO004336;Marathon;15195101J;HJN1;15;kW;380;29.6;50;2P;2850;6309;6309;160L;;3;0.85;;55;Class F;S1;Delta;Available;;;;;;160;;Internal;
EMO004395;Briwatech GMBH;167334;Rubin 220;2.2;kw;380;4.7;50;2P;2850;;;220;;3;0.75;;55;Class F;S1;start;Not Available;;;;120;240;220;;Internal;Vertical
EMO004480;Briwatech GMBH;;Rubin 220;2.2;kW;380;4.7;50;2P;2900;;;220;;3;0.75;;55;Class F;S1;start;Not Available;;;;120;240;220;;Internal;Vertical
EMO004537;Marathon;WX11000212-1001J;HJN1;7.5;kW;380;14.7;50;8P;790 ;6308;6308;132S;;3;0.88;88.1;55;Class F;S1;Delta;Not Available;;;;;;132;;Internal;Horizontal
EMO004534;Marathon;WX11000282-1002J;HJN1;110;kW;380;224;50;4P;1490;6319;6319;315L;;3;0.82;91.1;55;Class F;S1;Delta;Available;;;;;;315;;Internal;Horizontal
EMO004533;Marathon;AK-15195801J;HJN1;315;kW;380;559;50;4P;1480;NU322;6322;355L;;3;0.9;95.1;55;Class F;S1;Delta;Available;;;;;;355;;Internal;Horizontal
EMO004536;Marathon;AK-15196201J;HJN1;200;kW;380;359;50;2P;2900;NU319;6319;315L;;3;0.89;95.1;55;Class F;S1;Delta;Available;;;;;;315;;Internal;Horizontal
EMO004541;Marathon;WX11000212-1002J;HJN1;7.5;kW;380;14.7;50;8P;740 ;6308;6308;132S;;3;0.88;88.1;55;Class F;S1;Delta;Not Available;;;;;;132;;Internal;Horizontal
