id;status;funcloc;sort_field;material_number;equipment_description;unique_id;qr_code_link;created_at
EMO004651;Installed;FP-01-DM2-PRT-P011;DM2.PRT/P-102(M);;"AC MOTOR;380V,50Hz,18.5kW,2P,160L,B3";5882;https://www.safesave.info/MIC.php?id=Fajar-MotorList5882;2023-11-21 09:31:54
EMO004652;Installed;FP-01-DM2-DWT-P300;DM2.DWT/P-401(M);;"AC MOTOR;380V,50Hz,18.5kW,2P,160L,B3";5883;https://www.safesave.info/MIC.php?id=Fajar-MotorList5883;2023-11-21 09:31:55
EMO004653;Installed;FP-01-DM2-DWT-P301;DM2.DWT/P-402(M);;"AC MOTOR;380V,50Hz,18.5kW,2P,160L,B3";5884;https://www.safesave.info/MIC.php?id=Fajar-MotorList5884;2023-11-21 09:31:56
EMO004679;Installed;FP-01-DM2-BWS-P200;DM2.BWS/P-501(M);;"AC MOTOR;380,50Hz,15kW,2P,160M,B3";5885;https://www.safesave.info/MIC.php?id=Fajar-MotorList5885;2023-11-21 09:31:57
EMO004680;Installed;FP-01-DM2-BWS-P201;DM2.BWS/P-502(M);;"AC MOTOR;380,50Hz,15kW,2P,160M,B3";5886;https://www.safesave.info/MIC.php?id=Fajar-MotorList5886;2023-11-21 09:31:58
EMO004655;Installed;FP-01-DM2-DWA-P410;DM2.DWA/P-701(M);;"AC MOTOR;380V,50Hz,18.5kW,2P,160L,B3";5887;https://www.safesave.info/MIC.php?id=Fajar-MotorList5887;2023-11-21 09:31:59
EMO004657;Installed;FP-01-DM2-DWB-P440;DM2.DWB/P-702(M);;"AC MOTOR;380V,50Hz,18.5kW,2P,160L,B3";5888;https://www.safesave.info/MIC.php?id=Fajar-MotorList5888;2023-11-21 09:32:00
EMO004658;Installed;FP-01-GT1-HRS-DEFS-P502;GT1.HRS.DEFS/P-103/M;;"AC MOTOR;380V,50Hz,55kW,2P,250M,B3";5889;https://www.safesave.info/MIC.php?id=Fajar-MotorList5889;2023-11-21 09:32:01
EMO004659;Installed;FP-01-GT1-HRS-DEFS-P503;GT1.HRS.DEFS/P-104/M;;"AC MOTOR;380V,50Hz,55kW,2P,250M,B3";5890;https://www.safesave.info/MIC.php?id=Fajar-MotorList5890;2023-11-21 09:32:02
EMO004662;Installed;FP-01-DM2-RGS-P710;DM2.RGS/DP-1101(M);;"AC MOTOR;380V,50Hz,0.75kW,4P";5891;https://www.safesave.info/MIC.php?id=Fajar-MotorList5891;2023-11-21 09:32:03
EMO004663;Installed;FP-01-DM2-RGS-P711;DM2.RGS/DP-1102(M);;"AC MOTOR;380V,50Hz,0.75kW,4P";5892;https://www.safesave.info/MIC.php?id=Fajar-MotorList5892;2023-11-21 09:32:04
EMO004664;Installed;FP-01-DM2-RGS-P712;DM2.RGS/DP-1103(M);;"AC MOTOR;380V,50Hz,0.75kW,4P";5893;https://www.safesave.info/MIC.php?id=Fajar-MotorList5893;2023-11-21 09:32:05
EMO004665;Installed;FP-01-DM2-RGS-P713;DM2.RGS/DP-1104(M);;"AC MOTOR;380V,50Hz,0.75kW,4P";5894;https://www.safesave.info/MIC.php?id=Fajar-MotorList5894;2023-11-21 09:32:06
EMO004666;Installed;FP-01-DM2-RGS-P720;DM2.RGS/DP-1105(M);;"AC MOTOR;380V,50Hz,0.75kW,4P";5895;https://www.safesave.info/MIC.php?id=Fajar-MotorList5895;2023-11-21 09:32:07
EMO004667;Installed;FP-01-DM2-RGS-P721;DM2.RGS/DP-1106(M);;"AC MOTOR;380V,50Hz,0.75kW,4P";5896;https://www.safesave.info/MIC.php?id=Fajar-MotorList5896;2023-11-21 09:32:08
EMO004668;Installed;FP-01-DM2-RGS-P730;DM2.RGS/DP-1201(M);;"AC MOTOR;380V,50Hz,0.75kW,4P";5897;https://www.safesave.info/MIC.php?id=Fajar-MotorList5897;2023-11-21 09:32:09
EMO004669;Installed;FP-01-DM2-RGS-P731;DM2.RGS/DP-1202(M);;"AC MOTOR;380V,50Hz,0.75kW,4P";5898;https://www.safesave.info/MIC.php?id=Fajar-MotorList5898;2023-11-21 09:32:10
EMO004670;Installed;FP-01-DM2-RGS-P732;DM2.RGS/DP-1203(M);;"AC MOTOR;380V,50Hz,0.55kW,4P";5899;https://www.safesave.info/MIC.php?id=Fajar-MotorList5899;2023-11-21 09:32:11
EMO004671;Installed;FP-01-DM2-RGS-P733;DM2.RGS/DP-1204(M);;"AC MOTOR;380V,50Hz,0.75kW,4P";5900;https://www.safesave.info/MIC.php?id=Fajar-MotorList5900;2023-11-21 09:32:12
